,微信昵称,评论内容,ip地址
0,努力搞钱吖,我最喜欢沉迷搞钱（上班摸鱼）的我[旺柴],"[['中国', '广东', '']]"
1,王权侠侠,我就喜欢有点微胖的，自己，腿上有毛的自己，眼睛单眼皮的自己，我觉得自己的自己很美。作为一名海边的姑娘，黑皮的皮肤也是很美的,"[['中国', '广东', '']]"
2,树叽,我最喜欢内心强大，不畏生活，向往自由的我，祝520快乐，愿一直快乐,"[['中国', '陕西', '']]"
3,freedom,我最喜欢为了目标拼搏的自己，每天不是在颓废中度过的自己[哇][哇][哇],"[['中国', '重庆', '']]"
4,Yukiko🐳,我最喜欢热爱生活的我,"[['中国', '广东', '']]"
5,可不可以,我最喜欢爱笑的我,"[['中国', '广东', '']]"
6,宅若久时土肥圆,我最喜欢不完美的我，长大也许就从接受不完美的自己开始,"[['中国', '黑龙江', '']]"
7,lu·,表白自己[爱心]一个普通的广漂的女孩，大学毕业后就一直广州。许多来广漂原因，主要是想在大城市闯闯，实现自己的梦想。广州有我太多太多的回忆了。在广州有快乐有开心有流泪过，我从来没有放弃过自己，努力学习工作领域的理论和实践知识，工作中勤勤恳恳，勤于请教同事，从和别人合作做项目到独立负责项目，我都是脚踏实地一步一步一个脚印走过来的。和大多数人一样，我把青春都奉献给了这个大城市，广州有我努力的身影。我热爱它，它包容着来自于全国各地的人，每个人都能在这里找到强大的自己，都能挖掘出自己的潜能，都能有毅力去坚持自己想做的。我爱拼搏的自己，我爱自信的自己，加油[机智],"[['中国', '广东', '']]"
8,黄志程,我最喜欢那个被你爱着的我[爱心],"[['中国', '广东', '']]"
9,小肥羊羊羊🐑,表示真的很喜欢以纯的衣服 衣服款式越来越好看了 新款超级喜欢类似绿色球衣上衣和绿色短裤 好看又舒服,"[['中国', '天津', '']]"
10,郑宝莲,我最喜欢努力的我,"[['中国', '广东', '']]"
11,流油果果～,我最喜欢一往无前的我,"[['中国', '河北', '']]"
12,Desmos,"我喜欢可爱的我。
曾经一直以为&quot;可爱&quot;这个词是一个假大空的词，总是用来形容一个不漂亮的女生，但是接触的美女多了后发现，可爱这个词，比漂亮有更深的情绪表达。通常看见一个长得好看的人，我们都会多看他们两眼——谁不喜欢帅哥美女呢，但是如果是长久的相处，我们更需要灵魂的共鸣，比起外表的美丽，我更欣赏灵魂的可爱。
我不是一个很漂亮的女孩子，曾经因为得病吃药还长胖了许多，现在还在慢慢减肥，虽然已经减了许多，但是脸上的肉肉依旧宣告着我的体重。很少有人夸我漂亮，大家只会说我很可爱，可是没关系，因为我知道自己确实不算漂亮，但是我觉得自己确实是个很可爱的女孩子(普信狗头保命hhhh)。不管别人怎么看我(也许也会有人觉得我是个小胖子)，没关系，我喜欢这样的我，喜欢这样可爱的，散发着活力的自己。
我们需要与自己和解，发现现在的自己身上的美——美没有标准的定义。不漂亮就不漂亮嘛，身上总有其他的优点，每个女生都是独一无二的，你要喜欢自己的这份独一无二。
希望我们大家都能喜欢上这个独一无二的自己[机智][机智]","[['中国', '四川', '']]"
13,y a,最爱潇洒独立自由自在的我！！这就520了，可我还是单身。没关系啊，当个周五释放日来过也不错，我还在等待我的他。一直很喜欢舒婷《致橡树》里的一句话：我必须是你近旁的一株木棉。我的爱情，是比肩而立、各自独立又深情相对，既不高攀对方，借对方的显赫来炫耀虚荣；也不一厢情愿地淹没在对方的冷漠浓荫下，独唱那单恋的歌曲。爱情不是交朋友，不是谁都可以的。如果等不到那个人，我也不会将就，因为将就的孤独或许更可怕。我在等，木棉和橡树的那个遇见。,"[['中国', '陕西', '']]"
14,芥末,"我最喜欢执行力的自己
每当要做一件事的时候，都是立马去完成
拖泥带水只会让事情变得拖沓","[['中国', '广东', '']]"
15,小鹿,我最喜欢永不言弃、一直奔赴热爱之路的自己。520🎉 🎉 🎉 ,"[['中国', '湖南', '']]"
16,月亮  .,我最爱那个不管遇见再不好的人和事都依旧相信爱还存在的那个我 ❤️,"[['中国', '广东', '']]"
17,Zyj,"我最喜欢闪闪发光的我，下雨天不打伞也可以潇洒跑回家。

","[['中国', '浙江', '']]"
18,也无风雨也无晴,小编有心，选择5：20发文🌹 ,"[['中国', '河南', '']]"
19,Shian姗.,"我最喜欢自信充满活力的我
引用下耶鲁大学的校训
绝对自信 无条件自信 时刻自信 即使在做错了的时候 —-耶鲁大学校训
女孩子似乎总是在意自己的身材容貌 所以总是自卑为什么我长得不好看 可是这世界上有多少张眼睛就有多少张审美 别人可以不喜欢你但你自己必须喜欢自己！别人觉得你不好看但你必须认为自己好看！因为这宇宙有且仅有一个你[爱心]
我也有自卑 但当我越来越爱自己越来越欣赏自己的时候 我不在乎别人的看法 我穿我觉得好看的衣服化我觉得好看的妆 我就是觉得我很美 与你无关 也轮不到你来评价我 
所以在520这个日子 即使你觉得没有人爱你你也要好好爱自己[爱心]自信的爱自己
","[['中国', '天津', '']]"
20,lllllllllsy,我最喜欢享受当下的我，虽然失业但是也会看书上课充实自己，不焦虑不失眠胃口好比啥都强，一定会早日接到好offer的💪💪💪,"[['中国', '广东', '']]"
21,Edwin、,我最爱带着老婆，和身边孩子的我，最爱我做家务，老婆在身边叹世界的我[偷笑],"[['中国', '广东', '']]"
22,неясный,我最喜欢每天早起上网课，中午按点吃饭，下午上完网课后准备研究生考试，晚上做些运动、跑跑步，偶尔看看剧、读读书、听听播客，睡前认真洗脸和护肤的我。我最喜欢这样过着平凡又有规律的学习生活的我。[爱心],"[['中国', '江苏', '']]"
23,刘六六L🐧,最爱按时上班的我[跳跳],"[['中国', '广东', '']]"
24,夏小渔🐟,我最喜欢自己沉醉在图书馆备考的自己，还有为了给朋友准备生日惊喜熬通宵也不觉得困的自己....,"[['中国', '广东', '']]"
25,灯火星星,不止520，任何时候都要爱自己，把自己当成生活的主角，尽力做好自己。就算是“老去”也不慌不忙，因为有足够的内在力量，可以让自己从容坦然。[爱心],"[['中国', '浙江', '']]"
26,小付小付从不辜负,"我最喜欢伴着夕阳听歌的我
我最喜欢流着汗水奋斗的我
我最喜欢乘着晚风归家的我
我喜欢千千万万个样子的我
无关美丑胖瘦与贫穷富有
每一个样子我都很喜欢","[['中国', '广东', '']]"
27,也罢,我最喜欢虽然平凡但努力向前的我！加油！,"[['中国', '四川', '']]"
28,ｍｅ,爱自己，不分春夏秋冬,"[['中国', '广东', '']]"
29,HH,我最喜欢那种抽奖从不缺席又从来不中却从不放弃的我，这不就是中华民族五千年来传承的坚持品格。,"[['中国', '四川', '']]"
30,冬眠,我永远爱我，怎样都爱我,"[['中国', '陕西', '']]"
31,木&易,我最喜欢懵懂时候的我！不被任何东西牵绊,"[['中国', '天津', '']]"
32,田蜀黍,"我最喜欢无限定义的我
成长之路漫漫，我们每个人都扮演着不一样的角色，时刻变换着角色，有着无限种定义，可以是洒脱，可以是幼稚，可以是颓废……任何一种定义都是我在生活中一次次经历带来了，丰富着我那青春成长之路，不被定义，活出自我!","[['中国', '山西', '']]"
33,🎈,"我最喜欢有耐心的我[得意]，当了妈妈后，真的需要很多耐心，教他吃饭，说话，玩游戏……他的一举一动其实都映射着你的教育
明天还刚好是我的生日，能赶在一天真好[偷笑]","[['中国', '广东', '']]"
34,。,最喜欢自由努力挣钱的我，自己给自己底气，灵魂自由畅意。,"[['中国', '重庆', '']]"
35,@ly,我最喜欢上学期刚认识她时候的我,"[['中国', '四川', '']]"
36,给你腰子噶卖了,"我最喜欢，在爱情中自尊自爱不卑微的我
我最喜欢，在生活中自给自足能独立的我
我最喜欢，无论什么样，我都是我最喜欢的我
","[['中国', '辽宁', '']]"
37,៚ ঞ ɛƈɦօ এ,520就算没人爱你，你也要爱自己鸭,"[['中国', '广东', '']]"
38,大虞海棠,我最喜欢以前考研时废寝忘食不达目的绝不放弃的自己！,"[['中国', '江苏', '']]"
39,静静吖,我最喜欢当下的我,"[['中国', '江西', '']]"
40,明年九岁,"#对自己说爱#
在这新身份的一年，因为他的到来，我最喜欢【不抗拒肚子满是妊娠纹】的我","[['中国', '广东', '']]"
41,Miki,"#对自己说爱#
我最喜欢做自己的我！！！
不用整天顾及别人脸色，说句话都小心翼翼，勇敢表达自己内心的感觉太爽了！","[['中国', '广东', '']]"
42,张九南不南,我最喜欢高考失利后复读的自己，努力且上进，咬定目标不放，虽然很苦但是那种努力了就会有所收获的满足感、获得感和踏实感真的让人乐此不疲,"[['中国', '广西', '']]"
43,🍊mi fa so,我的每一种样子我都喜欢，在这个特殊的日子，愿有爱者有爱，无爱者自由。,"[['中国', '重庆', '']]"
44,咖米桑嘛,我最喜欢宅在家什么都不干，抱着猫晒太阳的自己！[让我看看][让我看看][让我看看],"[['中国', '江苏', '']]"
45,桃离不了喵,我最喜欢开怀大笑的自己[呲牙],"[['中国', '天津', '']]"
46,「灯塔」,我最爱钓鱼时的我，蓝天白云，惬意时光,"[['中国', '贵州', '']]"
47,仰望,我最喜欢勇于尝试，逃离舒适圈的我,"[['中国', '天津', '']]"
48,Oops,我最喜欢在疫情防控前线的我。无论白天和黑夜、刮风下雨、烈日高温，始终坚持在疫情防控第一线，引导过往车辆进行逐个登记检查，用自己的实际行动为疫情防控工作做出自己的贡献。,"[['中国', '山东', '']]"
49,歆久,我最喜欢那个风华正茂的我，不要看到别人发光，就觉得自己黯淡，你也可以发光。,"[['中国', '四川', '']]"
50,My Frequency   *,我最喜欢未长成大人的我，没什么钱，却也简单,"[['中国', '广东', '']]"
51,奶盐小霞,我喜欢不被定义的我！！！！,"[['中国', '湖南', '']]"
52,菠萝乐器行-小刘,我爱她，正如我离她的距离2786km一样不变。我享受奔向她的日子，有时在天上，有时在地上。[爱心],"[['中国', '陕西', '']]"
53,粒花,最喜欢孩子气的我🍬,"[['中国', '湖南', '']]"
54,喋牒以蝶蝶,#对自己说爱#好喜欢自由不受拘束的我 好喜欢不委屈自己的我 生活很苦 但要继续美丽 你比想象的更有力量[加油],"[['中国', '四川', '']]"
55,zzzzzzᯤ⁶ᴳ,我喜欢任何时候的自己。爱自己才知道怎么爱别人。,"[['中国', '广东', '']]"
56,❀,最喜欢那个为了走出黑暗拼了命努力的自己，努力到浑身散发着不一样光芒和自信的自己，那个时候的自己是真的很酷啊,"[['中国', '广东', '']]"
57,Ms.莫,"我喜欢一个人的精致
我喜欢一个人静静的待着
我喜欢没有人打扰的午后
我喜欢独处，我享受孤独
我想要我们的日子不是活着而是生活
我喜欢逛超市时精挑细选自己喜欢的东西
我想要有一个人可以慢下来陪着我
我喜欢这种自己喜欢自己的感觉
我喜欢尝过酸 品过苦 但心里仍然有甜的自己
我最爱这样的我，独一无二的我","[['中国', '广东', '']]"
58,Cherry🍒,"对自己表白？最爱怎样的自己？
愿集所有美好于一身，做个善良的姑凉，勤快的姑凉，优雅有气质的姑凉，事实上也集毛病一大堆，脾气臭臭的姑凉，不自信怯懦的姑凉，不爱打扮的姑凉，无论是怎样的自己都应该好好的爱自己，接受不完美的自己，一路向上生长","[['中国', '广东', '']]"
59,谢亚红,我喜欢如此执着的我,"[['中国', '河南', '']]"
60,Liar,我最爱那个心有山海🌊，风光旖旎🌏，永远像个孩子一样浪漫的自己。,"[['中国', '广东', '']]"
61,罗同学,"我最喜欢普通又不普通的我
每个人都是独一无二的所以大家都不普通","[['中国', '四川', '']]"
62,威化饼,我最喜欢洒脱佛系的我,"[['中国', '山东', '']]"
63,渡,我想说520不单单是情侣之间的恋爱纪念日，还是作为单身男女爱自己的纪念日，无论你在哪里，请你好好爱自己好好生活！并且爱你身边爱你的人！今年是特别的520！记得要开心呀。,"[['中国', '广东', '']]"
64,一一,我最爱真实，自信，以及现在的的我[爱心],"[['中国', '陕西', '']]"
65,蔡蔡💤,我最喜欢的是我还有我们,"[['中国', '福建', '']]"
66,夏天晚风吃西瓜,我喜欢每一个阶段的自己，自己当然是最好的啦[太阳][太阳][太阳],"[['中国', '四川', '']]"
67,拾叁,我喜欢我，没有定义,"[['中国', '河南', '']]"
68,Lillian Jiang,我最喜欢不甘平庸的我。2022，身为宝妈在陪伴孩子的同时，还要继续追求梦想，考研上岸梦想中的大学。,"[['中国', '广东', '']]"
69,Alice,这些年你辛苦了。我爱你，那个为生活努力打拼的自己，继续向前冲吧,"[['中国', '河南', '']]"
70,小陈,最爱做手工的我，作品让我有成就感，让我感觉到自己价值所在,"[['中国', '广东', '']]"
71,🇲r.🇼 🇩 🇾⁵²⁰,我最喜欢知道生命在倒计时却还是想灿烂一点的我,"[['中国', '四川', '']]"
72,Sunset Boulevard,我最喜欢每天都在一点点进步的自己,"[['中国', '广东', '']]"
73,M😺,520我希望中国没有疫情可以出门逛街[抓狂],"[['中国', '河南', '']]"
74,菩提树下,我喜欢真实的我，开心，不开心不需要带上虚伪的面具，哪怕在别人眼里是笨蛋，但依然不想学着圆滑。,"[['中国', '江苏', '']]"
75,choi_,我最喜欢单身的自己，无拘无束，自由自在，花自己的钱，买自己喜欢的衣服,"[['中国', '广东', '']]"
76,Camille,我最喜欢善于发现美好，努力创造美好的我[跳跳],"[['中国', '河北', '']]"
77,吴糖加冰🍧,我最喜欢明天的我，未知,"[['中国', '四川', '']]"
78,ꪖ᧚ꪖρᴛᥫᩣ໌້ᮨ,我最喜欢回老家时候的我，回到老家山清水秀，就像过着世外桃源的生活，每天爬爬树摘摘果，摸摸龙虾摸摸鱼，还可以组团挖野菜，好不自在，远离城市的喧嚣，什么都不用想，自由自在,"[['中国', '重庆', '']]"
79,来夕,我最喜欢勇敢说出自己答案的我,"[['中国', '广东', '']]"
80,白菜,我最喜欢肆意飞扬的我,"[['中国', '河南', '']]"
81,singsing,我最爱努力实现愿望的自己。这世界上没有那么多被人捧在手心上，想要什么都有人送的幸运儿，不必为自己的孤独而暗自伤神，我也可以靠自己得到自己想要的东西。,"[['中国', '广东', '']]"
82,五五,我最喜欢努力上进的我！如果不是2020年夏天的努力，我就不会有现在的本科生活。正因为当初早起晚睡努力学习的自己，才有了现在的学习生涯，所以我要对2020年的自己说声辛苦了，谢谢你！同时现在我要努力备考，争取招教上岸，找到一份满意的工作！努力上进会让人闪闪发光✨,"[['中国', '河南', '']]"
83,长安,能够在一个放假的日子里完完全全按照自己的计划进行。这就是我打算爱自己的方式，但是生活里总有很多意外,"[['中国', '陕西', '']]"
84, ,少年要迎着朝阳 活得肆无忌惮,"[['中国', '广东', '']]"
85,朱登登,"我最喜欢 自信且真实  的我
之前参加过谷歌为女性工作者开展的工作坊，一个小活动就是在明信片上用“I am remarkable, because”造句，感觉跟YISHION的这个活动有异曲同工之妙。如果说谷歌实现了我自信从事自己热爱的工作的愿望，那么YISHION则给了我保持真实的自己，打破身材焦虑的畅快感。从小到大都穿的休闲服装品牌啦！当然是要自己宠着啦[爱心][爱心]","[['中国', '广东', '']]"
86,手撕鷄。,"最喜欢早睡早起，积极乐观的自己。
最喜欢尊老爱幼，孝敬父母的自己。
最喜欢认真细心，专注工作的自己。
当然还有，周末经常光顾以纯，大包小包的自己～","[['中国', '广西', '']]"
87,白胖子,我最爱热爱运动的我！每天可以不学习，但是不可以不运动，一天不运动，良心不安哈哈哈,"[['中国', '四川', '']]"
88,加油喔,"我最喜欢充满活力、积极向上、有目标、敢爱会爱、自信、……的我吗？可有时候我也会自我怀疑，焦虑，丧失目标，独自emo。看着这个问题我再三思考
我想我最喜欢的就是我:一个平凡，渴望爱，会拼也会累的我，不是哪一面，而是方方面面汇成的这世间独一无二的我自己。","[['中国', '四川', '']]"
89,，,"我最喜欢不修边幅的我！
自己自在才最好，不要别人觉得，要自己觉得！
每个人身上都不完美，正是每个不完美的人在一起，才造就了这纷繁多姿的世界！
完美的人就不是人了，是神，可是还有句话，只羡鸳鸯不羡仙，所以还是做个不完美的自己，多好！","[['中国', '贵州', '']]"
90,小蜗牛,我最喜欢不敏感的我(๑•̌.•̑๑),"[['中国', '内蒙古', '']]"
91,Doikdoik💓,有时候望着天边的夕阳，我会爱自己，爱自己虽然普通，但是这个世界上只有我一个，我吹过早上的风，也看过四季不同的雨，因为爱自己，才会如此热爱生活。,"[['中国', '广西', '']]"
92,钱泳胜,我最喜欢一个人默默爱你，为你加油鼓励，收拾屋子，接你上下班，为你做饭的我。把喜欢留给了自己，把爱留给你,"[['中国', '江苏', '']]"
93,🌻Sunshine,我最喜欢童年的我，有外公外婆在一起的日子，虽然生活困难，但是快乐开心😊😊😊,"[['中国', '广东', '']]"
94,秋,我最爱知道自己想要什么并为此竭尽全力的我,"[['中国', '广东', '']]"
95,kingnana,亲爱的自己，希望今后的每天，眼睛里都有光,"[['中国', '山东', '']]"
96,一只皮卡秋,"#对自己说爱#
我最喜欢有了想法随之付出行动的我","[['中国', '天津', '']]"
97,和你,"以纯好特别啊，第一个看到说要说爱自己的。想要爱别人，当然要从好好爱自己开始！[爱心]
我最喜欢纠结时做出选择并且不后悔的自己～
人生有太多需要面临选择的时刻了，我所能做的，是尽量做出好的选择并且承担它带来的后果，无论是好是坏，都是自己的人生，都不后悔～","[['中国', '安徽', '']]"
98,【戀】Ｓmile,520，爱自己，无惧单身与否，都是最美的自己,"[['中国', '广东', '']]"
