,星座最配,排名,星座名,点评
0,白羊座最配,第一名,狮子座,星座爱情里，狮子注重自己的外表；甚至会有点自恋。不过，他会尽情满足你的浪漫及欲望。你俩将会是合拍的一对。狮子座对于人生持有乐观的看法。但是如果你太出风头，会让狮子座非常不满。虽然你们情投意合，但因你们彼此任性、个性倔强互不相让。一旦发生争执，就会酿成一场不可收拾的大风暴，即使相恋已久的情感，也会顿时冷却下来。
1,白羊座最配,第二名,射手座,两个火象星座的奇妙之旅。射手座的爱人可教授你这直性子的白羊艺术与文学。即使是外语的学习也能助你一臂之力，你们应该是一对快乐的恋人。由于你们彼此都能体会到地方的感受与魁力，应该有充满活力的交往。尤其是兴趣与运动方面，如能相同的话，步人结婚礼堂的可能性极大。
2,白羊座最配,第三名,双子座,彼此话题不断、无论是工作伙伴或是郊游对象都令你们感到愉悦，不厌倦。双子欣赏智慧、开朗、爽直的爱人，双子常常被你如太阳般明朗的个性所吸引。彼此的感觉不错，志趣相投，彼此对于流行情报或新信息的共识，更是促进你们进步发展的原动力。
3,金牛座最配,第一名,摩羯座,星座爱情里，两个同属土象星座的你们，不会有惊天动地狂风暴雨般的恋情，往往是细水长流，有如磁铁般紧密契合的满分组合。跟你一样，摩羯十分重视完全拥有对方。为了储蓄与家庭快乐，你们两人可取得相互协调，你的美丽与可敬，使摩羯安心。彼此对恋爱的忠诚度一致，使你们的爱情前途远大。摩羯可从你身上发现温柔与俏皮的一面，而你也能认同摩羯的真诚与可靠。
4,金牛座最配,第二名,处女座,追求纯真爱情的金牛座，与处女座乐于服务他人的个性极为适合。处女座信守双方的约定，使你安心不己。但是，你也必须避免出现孩子般的嫉妨心与占有欲。若能以成熟人的面貌与之交往的话，关系将会一帆风顺。
5,金牛座最配,第三名,巨蟹座,巨蟹座待人真挚，跟你一样很注重安全感，也有储蓄的习惯。巨蟹不会轻易流露真情。若到了可以信赖的地步，你将是他唯一值得吐露心事的人。同时，巨蟹也向往像你这种类型的人，而你也能积极地去接受巨蟹的温柔与体贴。一旦交往下去，如果没有非常严重的问题，可望步入结婚礼堂。
6,双子座最配,第一名,天秤座,同属风象星座们，无论工作或是恋爱，你们都能建立起良好的关系，艺术创作与交游方面更能取得协调。在事业上，你们可以达到合作无间的境界，也可以借此增进彼此的关系，获得相当高的契合度。天秤座可从交谈中感受到自己的梦想即将实现，而你只要和他在一起，就觉得未来充满光明和希望。若能具备经济基础，踏上红毯的可能性很大。
7,双子座最配,第二名,水瓶座,两个同属风象星座的你们，很容易会产生一种相知相惜的感觉，进而敞开心胸接纳对方，是开朗潇洒的组合。水瓶是天生聪明优秀的好学生或好老师，由擅长于流行信息、新闻、数理化、计算机，所以是个聪明绝顶的人物。双子的脑筋不停的动来动去，不断地从一个概念跳到另一个概念，你实在需要恒心和稳定，这点可吸取水瓶的能量，不只是爱情，在人际关系之中也是如此，因此水瓶是双子的绝配。
8,双子座最配,第三名,狮子座,风象双子的你和一个华丽贵气的狮子座，同样都是阳性星座，位置也相近，一般而言融通较易，是相互吸引又很相合的一对。狮子座跟你一样热爱社交生活。你应对狮子光明坦荡的气概与可信赖的态度深具好感。只是因为你们都有任性、独立、个性忽冷忽热的缺点，须特别注意。
9,巨蟹座最配,第一名,双鱼座,想像一下，巨蟹的月亮引起双鱼的海洋潮汐，鱼跟蟹似乎都很陶醉在一片汪洋大海，这是象征着彼此沉醉在深沉浓厚的感情重。但是水也能够代表着神秘的智慧，流向最深邃的灵性奥秘，在沉溺于鱼水之欢的同时，请不要忘了潜入智慧海洋的深处去寻宝。
10,巨蟹座最配,第二名,天蝎座,你们与其用言语来表达爱情，不如沉默不语，亦能了解彼此的心事。由于彼此心灵相通，都能体谅对方，因此可尽情享受成熟的爱情。蝎子的激情浪漫绝对可以满足你的需求。如果能够克服坠入情网的恐惧，你们的水之恋情一定可以长长久久。
11,巨蟹座最配,第三名,金牛座,巨蟹加金牛是一个标准的稳定组合和归属于家庭的人格。巨蟹的你能常常激发金牛完成大业。你们两个即使沉默不语，也能了解对方的心事。你在想什么，金牛都能直觉地感受到，他会对你细心、体贴不已。适度的任性、适度的怜借、爱护会令你动心，而你所追求的异性类型正是金牛座个性。
12,狮子座最配,第一名,白羊座,自尊意识强烈、不肯服输的狮子座，大体上正符合白羊座的理想。而你面对充满抱负，不肯屈服困难，拥有冒险的精神的白羊座，更是心生自信。如果你一直坚持自己无聊自大的理论，可能就会被白羊视为幼稚、天真。因此，偶尔必须诚恳地将自己的感受用言语表现出来。如果你想和白羊有更进一步交往的话，无须耍什么小花招，只要直接向对方表白即可。
13,狮子座最配,第二名,射手座,两个同属火象星座，很容易产生共鸣共振的感觉，尤其是碰到射手时，将会使你们的热度一下子升到最高点，是一见钟情式、健康开朗的组合。射手只要和狮子在一起，欢乐永远存在。你们两个在一起的话，更像两个玩疯的小孩，不仅会利用周遭的事物来玩的痛快，你们的互动关系也像是一出无比夸张的戏剧。
14,狮子座最配,第三名,双子座,华丽尊贵属火象星座的狮子，和处世圆融的双子座，都是阳性星座，位置相近、排列的角度也很好，会是开朗亮丽的一对。与双子座相处，可扩展你的交际范围。双子认同你的优点，双子座不仅可以是好友，更可以是你的恋人。善社交，并喜欢摆架子的双子座，喜欢像你这般拥有华贵气质的人。
15,处女座最配,第一名,金牛座,金牛座个性慵懒，但却能把你从铢锱算尽的紧张状态中抽离出来，助你减慢速度，令你觉得身心轻松，乐而忘忧。金牛座追求温和、稳定的感觉。对金牛来说，你是个能令他安心的对象。然而，喜欢悠闲自在与安祥，拥有优雅气质异性的金牛，却对你的一丝不苟与神经质感到厌烦，你若能睁一只眼，闭一只眼来看对方乐观、稍慢半拍的个性的话，就能逐渐拉近你们的感情。
16,处女座最配,第二名,摩羯座,土象星座的和谐稳固也可以在你们身上看见。现实中的摩羯座个性能使你安心，它是能够与你商量工作和未来人生的人生伴侣。另外，即使你们沉默不语，也能凭直觉感受到对方的心情，彼此情投意合。不过，正因为如此，一旦产生误解，使得热情冷却的话，就不易再恢复，因此必须留意不可过于固执己见。
17,处女座最配,第三名,天蝎座,专情星座的处女遇上深情星座的蝎子，两人都可相互依靠。两人都属于阴性星座，而蝎子在星座个性中有号称地王的强势个性，一强搭配一弱，属性又相随，将是紧密坚实的一对。天蝎的殷勤与慎重与你相仿。拥有深沉智慧与潜力的天蝎是你尊敬而爱慕的对象。
18,天秤座最配,第一名,双子座,你们都是充满现代感、知性的星座，交际运也佳，可以愉悦的交往。对于心胸较为狭窄的双子座，你若能配合顺应他的行动，你们会相处得非常愉快。盛产美女帅哥的天秤座跟聪慧知性的双子座相爱是天造地设的一对。为了令你有兴趣作进一步的发展，他总是早一步达成你的心中所得。
19,天秤座最配,第二名,水瓶座,属风象星座的水瓶或天秤，天生欢乐，逍遥自在，对每个人都友善，但是在较亲密的关系上显现了不可信赖的态度，可以说水瓶这种人是太过冷静而无情。几乎在许多场合不需要太多努力，即可达到成功。但你们两个都是极度不安的灵魂，正因为不安所以有了同病相怜、互相慰藉的和谐相处模式，但是水瓶似乎永远跟和谐有仇恨，天秤见状也随之摇摆不定，所以你们连不和谐都可以津津有味。
20,天秤座最配,第三名,狮子座,狮子是恋爱狂热份子，非常多情而性感的，秤子对异性很有品味。狮子在某些事上太喜欢用自己的方法，因而显得固执。这点天秤好多了。天秤要多多表达自己真实的爱，不必仅以实际刻板的方式。狮子也有单恋的苦恼，或苦于爱天秤在心里口难开。你们的恋情过于多元复杂，这可能是双方可能还在互相试探的结果。若狮子勤于甜言蜜语的练习，可以得到天秤座罗曼蒂克的爱。
21,天蝎座最配,第一名,巨蟹座,你跟巨蟹可以真心相对，并分享彼此的感受，虽然对方遇上麻烦会有逃避的行为，常惹你反感，但还是应该给这只并不讨厌的蟹一个机会。巨蟹虽有遇事即逃的缺点。但巨蟹座的人颇具温柔品质，当你为创业失败、商机溜去而痛苦不堪时，真正能安慰你的可能就是那并不狡猾但是非常善良的蟹子了。
22,天蝎座最配,第二名,双鱼座,你和鱼儿同属水象星座，根本上投缘的比率十分高。两人都非常敏感，且直觉很强，蝎子通常有超凡入胜的神秘力量，而鱼儿也不含糊；所以磁场相近，电流也一接就通，会是使个眼色就能互通有无的组合。鱼儿的敏感是因为感受性很强，所以有艺术家的气质。看到夕阳余晖鱼儿都可能会感动得流眼泪，而别人无心的一句话，也会刺伤你，你们都是个十分敏感的人，也因此容易彼此受伤。
23,天蝎座最配,第三名,摩羯座,土象星座的摩羯座和水象的天蝎座，都属于阴性星座，因此，某些方面的本质会很相近
24,射手座最配,第一名,白羊座,星座爱情里，两个同属火象星座的你们，在初相见时，便会有如磁铁般的互相吸引而一见锺情，进展快速而浓烈。由於性格相近，会是恩爱、耀眼的一对。 白羊冲劲十足、追求刺激的性格，与射手冒险犯难、喜新厌旧的个性，实在是有异曲同工之妙，具有同等级的精力与热情，不会有一方被吓跑。
25,射手座最配,第二名,狮子座,你俩同属火象星座，很容易被对方的气质吸引，都爱玩耍与热闹；热情会很快地扩展开来，一拍即合，不会“闭俗”。会是一对外表光鲜、明朗的健康组合。狮子座别具创意的爱情，能令你产生安定下来的念头。如果你想和他作更进一步交往的话，不妨以高贵华丽、鲜明的态度来表示。狮子座的他希望带着爱侣出门，能使人们频频回头。
26,射手座最配,第三名,天秤座,火象射手与风象星座天秤，都是阳性星座，在星座排列上也呈吉角，是蛮速配的一对组合。你具有随心所欲的天性，也不是不体贴伴侣，只是你一旦热衷某事，马上会对其它东东漠不关心，包括另一半在内。遇上深懂人际关系收与放哲学的秤子，刚好可以让你不必随时管他，又能彼此保持一定的距离；这种相处模式，会让你们很自在，正是互蒙其利、相得益彰。
27,摩羯座最配,第一名,金牛座,摩羯与金牛都属于土象星座，他们的星座性格特征是内向、实际、刻苦又耐劳，你们之间绝不是浪漫的传奇，而是有着“血浓于水”似的感情，并且细水长流。彼此的性格、思考模式与价值观都大同小异，只要考虑认真交往后，就会朝着共同目标默默打拚；摩羯与牛儿的恋情多属爱情长跑式，有的是一种柴米夫妻式的情感，外人看来也许乏味透顶，但个中甜蜜只有你们才懂！
28,摩羯座最配,第二名,处女座,同是土象星座，走实际路线的摩羯与处女，无论性格、思想都有很多共通点；两人的磁场一开始就接得上，纯真（至少在感情上）的你马上会被处女体贴有礼的举止吸引。虽然你们俩都不是大声谈爱型，却像有默契般地能先友后婚，通常能同心协力地向共组家庭的方向努力，会是一对幸福美满的组合。
29,摩羯座最配,第三名,双鱼座,双鱼在
30,水瓶座最配,第一名,双子座,两个同是风象星座的人相遇，可以把这象性星座的特征表现的淋漓尽致，是亦师亦友，爱情和友谊共存共荣，彼此信任、互相尊重的完美组合。一跟双子座相爱，富有情趣的他甚合你意。开怀大笑的同时，亦可借此清除身体之间的障碍。熊熊爱火一经点燃，便无法扑灭。
31,水瓶座最配,第二名,天秤座,瓶子和秤子都给人变化莫测、忽冷忽热的感觉，虽然原因不相同，但彼此却能产生互动，形成默契，尤其在真正交往之后的心态也与其它组合不同，会给对方很大的空间，并且双方也和谐、平顺，不会因此而疏离。你们之间是属于心灵交流式的恋情。
32,水瓶座最配,第三名,白羊座,水瓶座属于风象星座，白羊座则是火象星座，风象和火象都属阳（男）性星座，所以很容易相通契合，互相吸引、互相欣赏，是多采多姿，耀眼亮丽的一对。瓶子是个智慧、理性又未来的星座，和羊儿求新求变、活力充沛的特性，恰是很好的配合，若是搭档的话更会无往不利。
33,双鱼座最配,第一名,巨蟹座,你们同属水象星座，在个性及思考模式方面都很类似。蟹子重视安稳与实际的爱情，鱼儿要求全心全意的爱恋与照顾，双方都缺乏安全感；所以若你们的爱情进展开以后，能够成为一对如胶似漆的恩爱组合。
34,双鱼座最配,第二名,天蝎座,水象星座的人经常是为爱情而谈恋爱，很少掺杂着其它目的。双鱼与天蝎的人在这方面的表现更加突出，自然也比较容易接受彼此，而且必将是全心投入的一对。鱼儿与天蝎座相爱，没有人可以比这个天生多情的天蝎更适合你，你的无定向思维倾向可能令其他人激怒，但蝎子却看做心头爱。
35,双鱼座最配,第三名,摩羯座,双鱼先天是泪水多的水象星座，且又是个变动星座，感情较不易稳定；而土象星座的摩羯则是踏实务实的本位型星座。无论是生活或人格发展上，鱼儿和摩羯在基本上是相合的。但是也许要花上一段时间及考验，主要是因摩羯对爱情觉醒度不高，行动力又低；他可以用深情眼光在你背影守候，但浪漫对他而言则是轻浮的东西。若是能适应摩羯保守又传统的爱情方式，打开他的心扉，你们会成为一对互信、互爱、互谅的坚实组合。
